,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,20000000.0,6.0,0.1416758,0.1416758,3508.1697,2307.1133,0.0,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8442012
1,20009225.0,6.0,0.14166619,0.14166619,3508.1714,2307.0651,0.0029360396,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.844196
2,20019372.0,6.0,0.14165438,0.14165438,3508.2187,2307.0132,0.0029360247,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8441895
3,20030535.0,6.0,0.14163895,0.14163895,3508.2539,2306.9411,0.0029360084,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8441809
4,20042813.0,6.0,0.1416201,0.1416201,3508.2717,2306.8502,0.0029359904,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8441689
5,20056319.0,6.0,0.14153072,0.14153072,3509.9063,2306.6409,0.0029359707,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8441498
6,20071176.0,6.0,0.14160125,0.14160125,3506.951,2306.5649,0.0029359489,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.844127
7,20087519.0,6.0,0.14150137,0.14150137,3508.3285,2306.2653,0.002935925,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.844097
8,20105496.0,6.0,0.1414462,0.1414462,3508.4233,2306.0045,0.0029358987,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8440627
9,20125270.0,6.0,0.14135624,0.14135624,3509.314,2305.684,0.0029358697,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8440259
10,20147022.0,6.0,0.14131622,0.14131622,3508.5968,2305.3806,0.0029358379,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8439838
11,20170949.0,6.0,0.14124685,0.14124685,3508.6822,2305.0465,0.0029358029,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8439411
12,20197269.0,6.0,0.14116682,0.14116682,3508.8035,2304.6633,0.0029357644,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8438936
13,20226221.0,6.0,0.14106254,0.14106254,3509.4468,2304.2347,0.002935722,0.0,1000000.0,0.0039810717,1.0,4.0,0.0,0.0,1.8438411
