,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,90000000.0,1.5,0.00292213,0.00292213,72.847,1049.95,0.000708872,2.50971e-12,1.0,6.71524e-05,0.168679,4.0,0.0,10000.0,1.26169
14,90000000.0,1.5,0.00335407,0.00335407,239.991,1345.74,0.000708872,3.19298e-12,1.0,0.000233602,0.370235,4.0,0.0,10000.0,1.35281
15,90000000.0,1.5,0.00369731,0.00369731,506.13,1634.64,0.000708872,3.94907e-12,1.0,0.000517197,0.517197,4.0,0.0,10000.0,1.43747
16,90000000.0,1.5,0.00396645,0.00396645,912.34,1930.56,0.000708872,4.92436e-12,1.0,0.000982679,0.620028,4.0,0.0,10000.0,1.53061
17,90000000.0,1.5,0.00423883,0.00423883,1516.08,2220.87,0.000708872,6.29202e-12,1.0,0.00173338,0.690071,4.0,0.0,10000.0,1.64092
18,90000000.0,1.5,0.00453174,0.00453174,2392.77,2509.81,0.000708872,8.32276e-12,1.0,0.00292724,0.73529,4.0,0.0,10000.0,1.77643
19,90000000.0,1.5,0.00489411,0.00489411,3624.0,2800.63,0.000708872,1.1527e-11,1.0,0.00479245,0.759551,4.0,0.0,10000.0,1.9483
20,90000000.0,1.5,0.00531695,0.00531695,5284.91,3087.68,0.000708872,1.68423e-11,1.0,0.00764038,0.764038,4.0,0.0,10000.0,2.16969
21,90000000.0,1.5,0.00585601,0.00585601,7598.75,3387.08,0.000708872,2.71202e-11,1.0,0.012258,0.773425,4.0,0.0,10000.0,2.48422
22,90000000.0,1.5,0.00654306,0.00654306,10709.0,3692.88,0.000708872,4.97623e-11,1.0,0.019793,0.787975,4.0,0.0,10000.0,2.95374
23,90000000.0,1.5,0.00743209,0.00743209,14773.4,4003.58,0.000708872,7.19588e-11,1.0,0.0324687,0.815576,4.0,0.0,10000.0,3.71941
24,90000000.0,1.5,0.00867804,0.00867804,19322.2,4300.6,0.000708872,9.98063e-11,1.0,0.0520839,0.825474,4.0,0.0,10000.0,5.01448
25,90000000.0,1.5,0.0095812,0.0095812,22040.1,4463.08,0.000708872,1.24515e-10,1.0,0.0678762,0.678762,4.0,0.0,10000.0,6.23255
26,90000000.0,3.0,0.00141775,0.00141775,0.0,256.577,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
27,90000000.0,3.0,0.00141775,0.00141775,0.0,256.577,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
28,90000000.0,3.0,0.00141775,0.00141775,0.0,256.577,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
29,90000000.0,3.0,0.00141775,0.00141775,0.0,256.577,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
30,90000000.0,3.0,0.00141775,0.00141775,0.0,256.577,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
31,90000000.0,3.0,0.00141775,0.00141775,0.0,256.578,0.00141775,0.0,1.0,0.0,0.0,4.0,0.0,1000.0,1.32343
