,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,20000000.0,1.5,0.0094026738,0.0094026738,113.54947,721.15331,0.0,0.0,6.0,0.0001,1.0,2.0,0.0,0.0,1.1837506
1,20010000.0,1.5,0.0093797641,0.0093797641,113.54248,720.90777,0.00073400961,1.1181666e-13,6.0,9.9998882e-05,0.99998882,2.0,0.0,2000.0,1.1837112
2,20021000.0,1.5,0.0093705014,0.0093705014,113.54371,720.85842,0.00073400559,1.1180499e-13,6.0,9.9997652e-05,0.99997652,2.0,0.0,2000.0,1.1837019
3,20033100.0,1.5,0.009348833,0.009348833,113.55038,720.66744,0.00073400116,1.1179545e-13,6.0,9.9996299e-05,0.99996299,2.0,0.0,2000.0,1.1836715
4,20046410.0,1.5,0.0093311217,0.0093311217,113.55927,720.53891,0.00073399629,1.1177866e-13,6.0,9.9994811e-05,0.99994811,2.0,0.0,2000.0,1.1836503
5,20061051.0,1.5,0.0093145473,0.0093145473,113.55221,720.40327,0.00073399093,1.1176951e-13,6.0,9.9993175e-05,0.99993175,2.0,0.0,2000.0,1.1836276
6,20077156.0,1.5,0.0092990792,0.0092990792,113.55993,720.31846,0.00073398504,1.1175784e-13,6.0,9.9991375e-05,0.99991375,2.0,0.0,2000.0,1.1836137
7,20094872.0,1.5,0.0092820307,0.0092820307,113.56387,720.21738,0.00073397856,1.1174794e-13,6.0,9.9989396e-05,0.99989396,2.0,0.0,2000.0,1.1835972
8,20114359.0,1.5,0.0092643709,0.0092643709,113.55839,720.10254,0.00073397143,1.1173679e-13,6.0,9.9987218e-05,0.99987218,2.0,0.0,2000.0,1.1835781
9,20135795.0,1.5,0.0092489548,0.0092489548,113.55077,720.02473,0.00073396358,1.1172618e-13,6.0,9.9984823e-05,0.99984823,2.0,0.0,2000.0,1.1835646
10,20159374.0,1.5,0.0092264488,0.0092264488,113.56577,719.91112,0.00073395496,1.1171397e-13,6.0,9.9982189e-05,0.99982189,2.0,0.0,2000.0,1.1835468
11,20185312.0,1.5,0.0092027551,0.0092027551,113.53898,719.71875,0.00073394547,1.1170008e-13,6.0,9.9979292e-05,0.99979292,2.0,0.0,2000.0,1.1835142
12,20213843.0,1.5,0.0091734436,0.0091734436,113.55707,719.55439,0.00073393503,1.1168059e-13,6.0,9.9976105e-05,0.99976105,2.0,0.0,2000.0,1.1834877
13,20245227.0,1.5,0.0091418025,0.0091418025,113.54075,719.31389,0.00073392355,1.1166401e-13,6.0,9.9972601e-05,0.99972601,2.0,0.0,2000.0,1.1834477
14,20279750.0,1.5,0.0091065486,0.0091065486,113.5592,719.11002,0.00073391092,1.1164026e-13,6.0,9.9968747e-05,0.99968747,2.0,0.0,2000.0,1.1834146
15,20317725.0,1.5,0.0090691021,0.0090691021,113.54296,718.83358,0.00073389702,1.1162025e-13,6.0,9.9964508e-05,0.99964508,2.0,0.0,2000.0,1.1833686
16,20359497.0,1.5,0.0090278721,0.0090278721,113.56054,718.59225,0.00073388174,1.1159436e-13,6.0,9.9959846e-05,0.99959846,2.0,0.0,2000.0,1.1833294
17,20405447.0,1.5,0.008985666,0.008985666,113.56058,718.32923,0.00073386493,1.1156912e-13,6.0,9.995472e-05,0.9995472,2.0,0.0,2000.0,1.1832861
18,20455992.0,1.5,0.0089372746,0.0089372746,113.54123,717.9809,0.00073384644,1.1154094e-13,6.0,9.9949082e-05,0.99949082,2.0,0.0,2000.0,1.1832281
19,20511591.0,1.5,0.0088818932,0.0088818932,113.56164,717.65383,0.0007338261,1.1150756e-13,6.0,9.9942882e-05,0.99942882,2.0,0.0,2000.0,1.1831749
20,20572750.0,1.5,0.0088240136,0.0088240136,113.53702,717.24556,0.00073380373,1.1147281e-13,6.0,9.9936065e-05,0.99936065,2.0,0.0,2000.0,1.1831068
21,20640025.0,1.5,0.0087565249,0.0087565249,113.53694,716.79376,0.00073377912,1.1143222e-13,6.0,9.9928568e-05,0.99928568,2.0,0.0,2000.0,1.1830324
22,20714027.0,1.5,0.0086830772,0.0086830772,113.54033,716.30896,0.00073375206,1.113877e-13,6.0,9.9920325e-05,0.99920325,2.0,0.0,2000.0,1.1829527
23,20795430.0,1.5,0.008604482,0.008604482,113.53709,715.791,0.00073372228,1.1134077e-13,6.0,9.9911262e-05,0.99911262,2.0,0.0,2000.0,1.1828672
24,20884973.0,1.5,0.0085162815,0.0085162815,113.53753,715.22971,0.00073368953,1.1129019e-13,6.0,9.9901296e-05,0.99901296,2.0,0.0,2000.0,1.1827747
