,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,20000000.0,3.0,0.029622523,0.029622523,101.74332,1011.9268,0.0,0.0,2.0,0.0001,1.0,4.0,0.0,0.0,1.4345241
1,20010000.0,3.0,0.029530279,0.029530279,101.7463,1011.5629,0.0014680192,7.9267867e-13,2.0,9.9992073e-05,0.99992073,4.0,0.0,2000.0,1.4345011
2,20021000.0,3.0,0.029488249,0.029488249,101.71118,1011.3208,0.0014680112,7.9265031e-13,2.0,9.9983354e-05,0.99983354,4.0,0.0,2000.0,1.4344781
3,20033100.0,3.0,0.029380415,0.029380415,101.72953,1010.9335,0.0014680023,7.9258648e-13,2.0,9.9973764e-05,0.99973764,4.0,0.0,2000.0,1.4344553
4,20046410.0,3.0,0.02928454,0.02928454,101.73883,1010.5766,0.0014679926,7.9253168e-13,2.0,9.9963215e-05,0.99963215,4.0,0.0,2000.0,1.4344327
5,20061051.0,3.0,0.029253724,0.029253724,101.68825,1010.3549,0.0014679819,7.9248999e-13,2.0,9.9951612e-05,0.99951612,4.0,0.0,2000.0,1.4344103
6,20077156.0,3.0,0.029134202,0.029134202,101.71128,1009.9323,0.0014679701,7.9243307e-13,2.0,9.993885e-05,0.9993885,4.0,0.0,2000.0,1.4343878
7,20094872.0,3.0,0.029176899,0.029176899,101.71241,1010.2242,0.0014679571,7.9242175e-13,2.0,9.9924812e-05,0.99924812,4.0,0.0,2000.0,1.4344148
8,20114359.0,3.0,0.029140992,0.029140992,101.64313,1009.946,0.0014679429,7.9247778e-13,2.0,9.9909369e-05,0.99909369,4.0,0.0,2000.0,1.4343921
9,20135795.0,3.0,0.029106898,0.029106898,101.63877,1009.873,0.0014679272,7.9243184e-13,2.0,9.9892382e-05,0.99892382,4.0,0.0,2000.0,1.4343933
10,20159374.0,3.0,0.029057772,0.029057772,101.63834,1009.7477,0.0014679099,7.9243935e-13,2.0,9.9873697e-05,0.99873697,4.0,0.0,2000.0,1.4343938
