,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,20000000.0,1.5,0.009403,0.009403,113.62251,720.39877,0.0,0.0,6.0,0.0001,1.0,2.0,0.0,0.0,1.1831317
1,20010000.0,1.5,0.0093772853,0.0093772853,113.63134,720.14709,0.00073400964,1.4682919e-15,6.0,9.9999985e-05,0.99999985,2.0,0.0,2000.0,1.1830923
2,20021000.0,1.5,0.0093569292,0.0093569292,113.63887,719.96746,0.00073400562,1.4680321e-15,6.0,9.9999969e-05,0.99999969,2.0,0.0,2000.0,1.1830627
3,20033100.0,1.5,0.0093373704,0.0093373704,113.63608,719.78588,0.00073400119,1.4678363e-15,6.0,9.9999951e-05,0.99999951,2.0,0.0,2000.0,1.1830327
4,20046410.0,1.5,0.009330691,0.009330691,113.64077,719.79085,0.00073399632,1.4676362e-15,6.0,9.9999932e-05,0.99999932,2.0,0.0,2000.0,1.1830326
5,20061051.0,1.5,0.0093135518,0.0093135518,113.63686,719.65393,0.00073399097,1.4676266e-15,6.0,9.999991e-05,0.9999991,2.0,0.0,2000.0,1.1830108
6,20077156.0,1.5,0.0093022169,0.0093022169,113.65254,719.63689,0.00073398507,1.4674757e-15,6.0,9.9999887e-05,0.99999887,2.0,0.0,2000.0,1.183008
7,20094872.0,1.5,0.009296347,0.009296347,113.64912,719.66543,0.00073397859,1.467437e-15,6.0,9.9999861e-05,0.99999861,2.0,0.0,2000.0,1.1830122
8,20114359.0,1.5,0.0092788758,0.0092788758,113.63451,719.5361,0.00073397146,1.4674327e-15,6.0,9.9999832e-05,0.99999832,2.0,0.0,2000.0,1.1829912
9,20135795.0,1.5,0.0092561381,0.0092561381,113.63435,719.3783,0.00073396362,1.4672644e-15,6.0,9.9999801e-05,0.99999801,2.0,0.0,2000.0,1.1829654
10,20159374.0,1.5,0.009230312,0.009230312,113.63507,719.19545,0.00073395499,1.4670695e-15,6.0,9.9999766e-05,0.99999766,2.0,0.0,2000.0,1.1829356
11,20185312.0,1.5,0.0092012122,0.0092012122,113.63661,718.98658,0.0007339455,1.4668469e-15,6.0,9.9999728e-05,0.99999728,2.0,0.0,2000.0,1.1829015
12,20213843.0,1.5,0.009170115,0.009170115,113.66634,718.82085,0.00073393506,1.4666106e-15,6.0,9.9999686e-05,0.99999686,2.0,0.0,2000.0,1.1828754
13,20245227.0,1.5,0.009142165,0.009142165,113.66468,718.65521,0.00073392358,1.4664323e-15,6.0,9.999964e-05,0.9999964,2.0,0.0,2000.0,1.1828481
14,20279750.0,1.5,0.0091088457,0.0091088457,113.64604,718.40719,0.00073391095,1.4662299e-15,6.0,9.999959e-05,0.9999959,2.0,0.0,2000.0,1.1828069
15,20317725.0,1.5,0.0090695183,0.0090695183,113.67299,718.18703,0.00073389706,1.465935e-15,6.0,9.9999534e-05,0.99999534,2.0,0.0,2000.0,1.1827718
16,20359497.0,1.5,0.0090314581,0.0090314581,113.67109,717.95027,0.00073388178,1.4656812e-15,6.0,9.9999473e-05,0.99999473,2.0,0.0,2000.0,1.1827329
17,20405447.0,1.5,0.008987022,0.008987022,113.68202,717.67878,0.00073386497,1.465395e-15,6.0,9.9999405e-05,0.99999405,2.0,0.0,2000.0,1.182689
18,20455992.0,1.5,0.0089383375,0.0089383375,113.69216,717.38165,0.00073384648,1.4650807e-15,6.0,9.9999331e-05,0.99999331,2.0,0.0,2000.0,1.1826409
19,20511591.0,1.5,0.0088853074,0.0088853074,113.69772,717.05732,0.00073382614,1.464736e-15,6.0,9.999925e-05,0.9999925,2.0,0.0,2000.0,1.182588
20,20572750.0,1.5,0.0088280626,0.0088280626,113.69535,716.69883,0.00073380377,1.4643524e-15,6.0,9.999916e-05,0.9999916,2.0,0.0,2000.0,1.1825291
21,20640025.0,1.5,0.0087637888,0.0087637888,113.7029,716.30303,0.00073377916,1.4639321e-15,6.0,9.9999062e-05,0.99999062,2.0,0.0,2000.0,1.1824647
22,20714027.0,1.5,0.0086936762,0.0086936762,113.71078,715.87009,0.00073375209,1.4634723e-15,6.0,9.9998954e-05,0.99998954,2.0,0.0,2000.0,1.1823941
23,20795430.0,1.5,0.0086167618,0.0086167618,113.71953,715.39653,0.00073372232,1.4629696e-15,6.0,9.9998834e-05,0.99998834,2.0,0.0,2000.0,1.1823169
24,20884973.0,1.5,0.0085306838,0.0085306838,113.72906,714.88006,0.00073368957,1.4624213e-15,6.0,9.9998703e-05,0.99998703,2.0,0.0,2000.0,1.1822328
25,20983471.0,1.5,0.0084368341,0.0084368341,113.73934,714.31883,0.00073365354,1.4618256e-15,6.0,9.9998559e-05,0.99998559,2.0,0.0,2000.0,1.1821413
26,21091818.0,1.5,0.008333881,0.008333881,113.75475,713.70732,0.00073361392,1.4611781e-15,6.0,9.9998401e-05,0.99998401,2.0,0.0,2000.0,1.1820419
27,21210999.0,1.5,0.0082211441,0.0082211441,113.76263,713.04662,0.00073357034,1.4604758e-15,6.0,9.9998227e-05,0.99998227,2.0,0.0,2000.0,1.181934
28,21342099.0,1.5,0.008096018,0.008096018,113.7754,712.32926,0.0007335224,1.459715e-15,6.0,9.9998036e-05,0.99998036,2.0,0.0,2000.0,1.1818171
29,21486309.0,1.5,0.0079584906,0.0079584906,113.78951,711.55378,0.00073346968,1.4588928e-15,6.0,9.9997825e-05,0.99997825,2.0,0.0,2000.0,1.1816907
30,21644049.0,1.5,0.007806527,0.007806527,113.80744,710.72187,0.00073341201,1.4580118e-15,6.0,9.9997595e-05,0.99997595,2.0,0.0,2000.0,1.1815552
31,21801788.0,1.5,0.0076548058,0.0076548058,113.82237,709.91273,0.00073335434,1.4571513e-15,6.0,9.9997366e-05,0.99997366,2.0,0.0,2000.0,1.1814228
32,21959527.0,1.5,0.0075039654,0.0075039654,113.83381,709.1259,0.00073329668,1.4563138e-15,6.0,9.9997136e-05,0.99997136,2.0,0.0,2000.0,1.1812939
33,22117267.0,1.5,0.0073521764,0.0073521764,113.847,708.35906,0.00073323903,1.4554987e-15,6.0,9.9996906e-05,0.99996906,2.0,0.0,2000.0,1.1811685
34,22275006.0,1.5,0.0072024551,0.0072024551,113.86375,707.6112,0.00073318138,1.4547053e-15,6.0,9.9996677e-05,0.99996677,2.0,0.0,2000.0,1.1810463
35,22432745.0,1.5,0.0070526055,0.0070526055,113.87503,706.88476,0.00073312374,1.4539333e-15,6.0,9.9996447e-05,0.99996447,2.0,0.0,2000.0,1.1809274
36,22590485.0,1.5,0.0069060727,0.0069060727,113.8867,706.17502,0.0007330661,1.4531797e-15,6.0,9.9996218e-05,0.99996218,2.0,0.0,2000.0,1.1808113
37,22748224.0,1.5,0.0067602646,0.0067602646,113.9009,705.48159,0.00073300846,1.4524447e-15,6.0,9.9995989e-05,0.99995989,2.0,0.0,2000.0,1.180698
38,22905963.0,1.5,0.0066161354,0.0066161354,113.91414,704.80547,0.00073295083,1.4517281e-15,6.0,9.999576e-05,0.9999576,2.0,0.0,2000.0,1.1805875
39,23063703.0,1.5,0.0064755685,0.0064755685,113.92634,704.14598,0.00073289321,1.4510292e-15,6.0,9.9995531e-05,0.99995531,2.0,0.0,2000.0,1.1804797
40,23221442.0,1.5,0.0063327434,0.0063327434,113.93767,703.50357,0.00073283559,1.4503484e-15,6.0,9.9995302e-05,0.99995302,2.0,0.0,2000.0,1.1803747
41,23379181.0,1.5,0.0061921152,0.0061921152,113.94576,702.86954,0.00073277797,1.4496856e-15,6.0,9.9995074e-05,0.99995074,2.0,0.0,2000.0,1.1802724
42,23536921.0,1.5,0.0060554445,0.0060554445,113.95942,702.1786,0.00073272036,1.4490418e-15,6.0,9.9994845e-05,0.99994845,2.0,0.0,2000.0,1.180173
43,23694660.0,1.5,0.0059218253,0.0059218253,113.96999,701.44931,0.00073266275,1.4484327e-15,6.0,9.9994617e-05,0.99994617,2.0,0.0,2000.0,1.180079
44,23852399.0,1.5,0.0057942955,0.0057942955,113.98302,700.69885,0.00073260515,1.4478736e-15,6.0,9.9994388e-05,0.99994388,2.0,0.0,2000.0,1.1799927
45,24010139.0,1.5,0.0056706819,0.0056706819,113.99748,699.92474,0.00073254756,1.4473757e-15,6.0,9.999416e-05,0.9999416,2.0,0.0,2000.0,1.1799158
46,24167878.0,1.5,0.0055513657,0.0055513657,114.0077,699.1264,0.00073248996,1.4469469e-15,6.0,9.9993932e-05,0.99993932,2.0,0.0,2000.0,1.1798495
47,24325617.0,1.5,0.0054363718,0.0054363718,114.02583,698.3298,0.00073243238,1.446586e-15,6.0,9.9993704e-05,0.99993704,2.0,0.0,2000.0,1.1797937
48,24483357.0,1.5,0.0053290314,0.0053290314,114.03908,697.55707,0.0007323748,1.4462866e-15,6.0,9.9993475e-05,0.99993475,2.0,0.0,2000.0,1.1797475
49,24641096.0,1.5,0.0052299322,0.0052299322,114.04709,696.81264,0.00073231722,1.4460402e-15,6.0,9.9993247e-05,0.99993247,2.0,0.0,2000.0,1.1797094
50,24798835.0,1.5,0.0051380039,0.0051380039,114.06225,696.09113,0.00073225965,1.4458374e-15,6.0,9.9993019e-05,0.99993019,2.0,0.0,2000.0,1.179678
51,24956575.0,1.5,0.0050573813,0.0050573813,114.06395,695.42153,0.00073220208,1.4456696e-15,6.0,9.9992791e-05,0.99992791,2.0,0.0,2000.0,1.1796521
52,25114314.0,1.5,0.0049834378,0.0049834378,114.07119,694.77745,0.00073214452,1.4455285e-15,6.0,9.9992563e-05,0.99992563,2.0,0.0,2000.0,1.1796303
53,25272053.0,1.5,0.0049146192,0.0049146192,114.08776,694.15171,0.00073208696,1.4454086e-15,6.0,9.9992335e-05,0.99992335,2.0,0.0,2000.0,1.1796118
54,25429793.0,1.5,0.0048493875,0.0048493875,114.07624,693.47843,0.00073202941,1.4453062e-15,6.0,9.9992107e-05,0.99992107,2.0,0.0,2000.0,1.1795858
55,25587532.0,1.5,0.004784236,0.004784236,114.08674,692.78915,0.00073197186,1.4451529e-15,6.0,9.9991879e-05,0.99991879,2.0,0.0,2000.0,1.1795621
56,25745271.0,1.5,0.00472315,0.00472315,114.11726,692.17354,0.00073191432,1.4450142e-15,6.0,9.9991651e-05,0.99991651,2.0,0.0,2000.0,1.1795508
57,25903011.0,1.5,0.00466442,0.00466442,114.12635,691.55636,0.00073185678,1.4449537e-15,6.0,9.9991423e-05,0.99991423,2.0,0.0,2000.0,1.1795414
58,26060750.0,1.5,0.0046081535,0.0046081535,114.13494,690.94611,0.00073179925,1.4449045e-15,6.0,9.9991196e-05,0.99991196,2.0,0.0,2000.0,1.1795338
59,26218489.0,1.5,0.004550814,0.004550814,114.12862,690.25329,0.00073174172,1.4448652e-15,6.0,9.9990968e-05,0.99990968,2.0,0.0,2000.0,1.1795176
60,26376229.0,1.5,0.0044935327,0.0044935327,114.13522,689.54523,0.00073168419,1.4447697e-15,6.0,9.999074e-05,0.9999074,2.0,0.0,2000.0,1.1795028
61,26533968.0,1.5,0.0044412306,0.0044412306,114.13907,688.92067,0.00073162667,1.4446828e-15,6.0,9.9990512e-05,0.99990512,2.0,0.0,2000.0,1.1794995
62,26691707.0,1.5,0.0043834647,0.0043834647,114.17472,688.16671,0.00073156916,1.4446689e-15,6.0,9.9990284e-05,0.99990284,2.0,0.0,2000.0,1.1794872
63,26849447.0,1.5,0.0043297711,0.0043297711,114.16134,687.38337,0.00073151165,1.4445959e-15,6.0,9.9990056e-05,0.99990056,2.0,0.0,2000.0,1.1794658
64,27007186.0,1.5,0.0042797938,0.0042797938,114.19705,686.73267,0.00073145415,1.4444626e-15,6.0,9.9989828e-05,0.99989828,2.0,0.0,2000.0,1.1794655
65,27164925.0,1.5,0.004234456,0.004234456,114.20592,686.11227,0.00073139665,1.4444647e-15,6.0,9.99896e-05,0.999896,2.0,0.0,2000.0,1.1794658
66,27322665.0,1.5,0.0041917314,0.0041917314,114.21615,685.50995,0.00073133915,1.4444704e-15,6.0,9.9989373e-05,0.99989373,2.0,0.0,2000.0,1.1794667
67,27480404.0,1.5,0.0041598459,0.0041598459,114.20651,685.13304,0.00073128166,1.444479e-15,6.0,9.9989145e-05,0.99989145,2.0,0.0,2000.0,1.1794883
68,27638143.0,1.5,0.0041280111,0.0041280111,114.20962,684.74519,0.00073122418,1.4446207e-15,6.0,9.9988917e-05,0.99988917,2.0,0.0,2000.0,1.1795102
69,27795883.0,1.5,0.0040919334,0.0040919334,114.23176,684.20246,0.0007311667,1.4447637e-15,6.0,9.9988689e-05,0.99988689,2.0,0.0,2000.0,1.1795121
70,27953622.0,1.5,0.0040493836,0.0040493836,114.22024,683.36414,0.00073110922,1.4447772e-15,6.0,9.9988461e-05,0.99988461,2.0,0.0,2000.0,1.1794736
71,28111361.0,1.5,0.0040189187,0.0040189187,114.2531,682.90579,0.00073105175,1.4445298e-15,6.0,9.9988233e-05,0.99988233,2.0,0.0,2000.0,1.1794759
72,28269101.0,1.5,0.0039937702,0.0039937702,114.23614,682.45613,0.00073099429,1.4445459e-15,6.0,9.9988005e-05,0.99988005,2.0,0.0,2000.0,1.1794682
73,28426840.0,1.5,0.0039674287,0.0039674287,114.2488,681.99209,0.00073093683,1.4444971e-15,6.0,9.9987777e-05,0.99987777,2.0,0.0,2000.0,1.1794607
74,28584579.0,1.5,0.0039473106,0.0039473106,114.24389,681.62272,0.00073087937,1.4444488e-15,6.0,9.998755e-05,0.9998755,2.0,0.0,2000.0,1.1794532
