,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,20000000.0,3.0,0.029596,0.029596,11.039231,406.89217,0.0,0.0,6.0,1e-05,1.0,1.0,10000.0,0.0,1.3564797
1,20010000.0,3.0,0.02964178,0.02964178,11.064128,407.3395,0.0014680193,5.0600766e-17,6.0,9.9999995e-06,0.99999995,1.0,20000.0,2000.0,1.3565279
2,20021000.0,3.0,0.029772843,0.029772843,11.064969,407.81509,0.0014680112,5.0618062e-17,6.0,9.9999989e-06,0.99999989,1.0,31000.0,2000.0,1.3565754
3,20033100.0,3.0,0.029861834,0.029861834,11.038637,407.85351,0.0014680024,5.0634976e-17,6.0,9.9999983e-06,0.99999983,1.0,43100.0,2000.0,1.3565752
4,20046410.0,3.0,0.029812415,0.029812415,11.01053,407.40842,0.0014679926,5.0634257e-17,6.0,9.9999977e-06,0.99999977,1.0,56410.0,2000.0,1.3565266
5,20061051.0,3.0,0.029650621,0.029650621,11.009531,406.88302,0.0014679819,5.0615271e-17,6.0,9.9999969e-06,0.99999969,1.0,71051.0,2000.0,1.3564745
6,20077156.0,3.0,0.029492494,0.029492494,11.007787,406.36296,0.0014679701,5.0596193e-17,6.0,9.9999961e-06,0.99999961,1.0,87156.1,2000.0,1.3564221
7,20094872.0,3.0,0.029347468,0.029347468,11.039308,406.25144,0.0014679572,5.0577205e-17,6.0,9.9999952e-06,0.99999952,1.0,104871.71,2000.0,1.3564166
8,20114359.0,3.0,0.029307481,0.029307481,11.042948,406.19728,0.0014679429,5.0575449e-17,6.0,9.9999942e-06,0.99999942,1.0,124358.88,2000.0,1.3564117
9,20135795.0,3.0,0.029269055,0.029269055,11.008488,405.73825,0.0014679272,5.0573419e-17,6.0,9.9999931e-06,0.99999931,1.0,145794.77,2000.0,1.3563595
10,20159374.0,3.0,0.029103183,0.029103183,11.04206,405.5879,0.00146791,5.0553478e-17,6.0,9.9999919e-06,0.99999919,1.0,169374.25,2000.0,1.3563514
11,20185312.0,3.0,0.029062268,0.029062268,11.041528,405.49888,0.001467891,5.0550047e-17,6.0,9.9999906e-06,0.99999906,1.0,195311.67,2000.0,1.3563419
12,20213843.0,3.0,0.02897619,0.02897619,11.010831,404.93323,0.0014678701,5.0544713e-17,6.0,9.9999892e-06,0.99999892,1.0,223842.84,2000.0,1.3562806
13,20245227.0,3.0,0.028768387,0.028768387,11.011084,404.29103,0.0014678472,5.0521652e-17,6.0,9.9999876e-06,0.99999876,1.0,255227.12,2000.0,1.3562173
14,20279750.0,3.0,0.028560445,0.028560445,11.012421,403.66322,0.0014678219,5.049899e-17,6.0,9.9999859e-06,0.99999859,1.0,289749.83,2000.0,1.3561549
15,20317725.0,3.0,0.028344665,0.028344665,11.013216,403.00618,0.0014677941,5.0475327e-17,6.0,9.9999839e-06,0.99999839,1.0,327724.82,2000.0,1.3560898
16,20359497.0,3.0,0.028145314,0.028145314,11.047042,402.7668,0.0014677636,5.0451915e-17,6.0,9.9999818e-06,0.99999818,1.0,369497.3,2000.0,1.356072
17,20405447.0,3.0,0.028050551,0.028050551,11.014657,402.18604,0.0014677299,5.0445552e-17,6.0,9.9999795e-06,0.99999795,1.0,415447.03,2000.0,1.3560079
18,20455992.0,3.0,0.027831227,0.027831227,11.049004,401.8966,0.001467693,5.0420684e-17,6.0,9.999977e-06,0.9999977,1.0,465991.73,2000.0,1.355986
19,20511591.0,3.0,0.027714397,0.027714397,11.05129,401.6346,0.0014676523,5.0411338e-17,6.0,9.9999742e-06,0.99999742,1.0,521590.9,2000.0,1.3559603
20,20572750.0,3.0,0.027583183,0.027583183,11.050871,401.30463,0.0014676075,5.0399509e-17,6.0,9.9999711e-06,0.99999711,1.0,582749.99,2000.0,1.3559277
21,20640025.0,3.0,0.027417747,0.027417747,11.051286,400.87398,0.0014675583,5.0384191e-17,6.0,9.9999677e-06,0.99999677,1.0,650024.99,2000.0,1.3558855
22,20714027.0,3.0,0.027228636,0.027228636,11.053414,400.38956,0.0014675042,5.0366967e-17,6.0,9.999964e-06,0.9999964,1.0,724027.49,2000.0,1.355838
23,20795430.0,3.0,0.027005233,0.027005233,11.054482,399.78562,0.0014674446,5.0345475e-17,6.0,9.9999599e-06,0.99999599,1.0,805430.24,2000.0,1.3557788
24,20884973.0,3.0,0.026764008,0.026764008,11.054192,399.12745,0.0014673791,5.0321724e-17,6.0,9.9999554e-06,0.99999554,1.0,894973.27,2000.0,1.3557133
25,20983471.0,3.0,0.026493449,0.026493449,11.056486,398.40747,0.0014673071,5.0295994e-17,6.0,9.9999504e-06,0.99999504,1.0,993470.59,2000.0,1.3556423
26,21091818.0,3.0,0.026205902,0.026205902,11.057783,397.6325,0.0014672278,5.0268158e-17,6.0,9.999945e-06,0.9999945,1.0,1101817.7,2000.0,1.3555655
27,21210999.0,3.0,0.025893093,0.025893093,11.058651,396.78983,0.0014671407,5.0237864e-17,6.0,9.999939e-06,0.9999939,1.0,1220999.4,2000.0,1.3554818
28,21342099.0,3.0,0.02554949,0.02554949,11.060567,395.87481,0.0014670448,5.0205058e-17,6.0,9.9999324e-06,0.99999324,1.0,1352099.4,2000.0,1.3553912
29,21486309.0,3.0,0.025181285,0.025181285,11.061284,394.88711,0.0014669394,5.0169514e-17,6.0,9.9999252e-06,0.99999252,1.0,1496309.3,2000.0,1.355293
30,21644049.0,3.0,0.024777146,0.024777146,11.06335,393.81875,0.001466824,5.0131194e-17,6.0,9.9999172e-06,0.99999172,1.0,1654048.6,2000.0,1.355187
31,21801788.0,3.0,0.024380729,0.024380729,11.065198,392.77856,0.0014667087,5.0093603e-17,6.0,9.9999093e-06,0.99999093,1.0,1811788.0,2000.0,1.355083
32,21959527.0,3.0,0.023990677,0.023990677,11.067022,391.76196,0.0014665934,5.0056871e-17,6.0,9.9999014e-06,0.99999014,1.0,1969527.3,2000.0,1.3549813
33,22117267.0,3.0,0.023604699,0.023604699,11.068976,390.76704,0.0014664781,5.0020936e-17,6.0,9.9998936e-06,0.99998936,1.0,2127266.6,2000.0,1.3548817
34,22275006.0,3.0,0.023228405,0.023228405,11.070653,389.79466,0.0014663628,4.9985784e-17,6.0,9.9998857e-06,0.99998857,1.0,2285006.0,2000.0,1.3547843
35,22432745.0,3.0,0.02285568,0.02285568,11.072289,388.84255,0.0014662475,4.9951363e-17,6.0,9.9998778e-06,0.99998778,1.0,2442745.3,2000.0,1.3546888
36,22590485.0,3.0,0.022493018,0.022493018,11.073403,387.9078,0.0014661322,4.9917528e-17,6.0,9.9998699e-06,0.99998699,1.0,2600484.7,2000.0,1.3545949
37,22748224.0,3.0,0.022135212,0.022135212,11.074611,386.98853,0.0014660169,4.988426e-17,6.0,9.9998621e-06,0.99998621,1.0,2758224.0,2000.0,1.3545026
38,22905963.0,3.0,0.021781412,0.021781412,11.076309,386.08372,0.0014659017,4.9851553e-17,6.0,9.9998542e-06,0.99998542,1.0,2915963.3,2000.0,1.3544117
39,23063703.0,3.0,0.021434252,0.021434252,11.07847,385.19362,0.0014657864,4.9819411e-17,6.0,9.9998463e-06,0.99998463,1.0,3073702.7,2000.0,1.3543224
40,23221442.0,3.0,0.02109188,0.02109188,11.079259,384.323,0.0014656712,4.9787838e-17,6.0,9.9998385e-06,0.99998385,1.0,3231442.0,2000.0,1.3542346
41,23379181.0,3.0,0.020750457,0.020750457,11.081234,383.46476,0.0014655559,4.9756825e-17,6.0,9.9998306e-06,0.99998306,1.0,3389181.3,2000.0,1.3541483
42,23536921.0,3.0,0.020412669,0.020412669,11.082956,382.62332,0.0014654407,4.972638e-17,6.0,9.9998228e-06,0.99998228,1.0,3546920.7,2000.0,1.3540636
43,23694660.0,3.0,0.020075139,0.020075139,11.08385,381.79947,0.0014653255,4.9696495e-17,6.0,9.9998149e-06,0.99998149,1.0,3704660.0,2000.0,1.3539803
44,23852399.0,3.0,0.019735458,0.019735458,11.085982,380.98746,0.0014652103,4.9667148e-17,6.0,9.9998071e-06,0.99998071,1.0,3862399.3,2000.0,1.3538986
45,24010139.0,3.0,0.019394582,0.019394582,11.087408,380.19369,0.0014650951,4.9638382e-17,6.0,9.9997993e-06,0.99997993,1.0,4020138.7,2000.0,1.3538184
46,24167878.0,3.0,0.019047998,0.019047998,11.088049,379.41337,0.0014649799,4.9610184e-17,6.0,9.9997915e-06,0.99997915,1.0,4177878.0,2000.0,1.3537398
