,Time (year),Core mass (Earth mass),Core Luminosity (Ljup=3.35e25 cgs),Total Luminosity (Ljup=3.35e25 cgs),Pressure at envelope core boundary (bar),Temperature at envelope core boundary (K),Radiogenic core luminosity (Ljup=3.35e25 cgs),Mdotevap (Earth mass/yr) envelope evaporation rate,Semi-major axis (AU),Menve(Mearth),Current envelope mass / initial envelope mass,"Water state on core-enve boundary 0=solid, 1=liquid, 2 = vapour, 3=supercritical, 4 = other (high press. ices, temp > 800 K)",Duration of liquid water presence [yr],Texo (K),Radius
0,400000000.0,1.5,0.000577758,0.000577758,1.27476,506.568,0.000608179,0.0,1.0,1e-06,1.0,2.0,0.0,0.0,1.12032
1,400000000.0,1.5,0.000579183,0.000579183,1.95072,560.072,0.000608179,0.0,1.0,1.58489e-06,1.0,2.0,0.0,0.0,1.1307
2,400000000.0,1.5,0.000583584,0.000583584,3.01652,573.457,0.000608179,0.0,1.0,2.51189e-06,1.0,2.0,0.0,0.0,1.14194
3,400000000.0,1.5,0.00058528,0.00058528,4.70255,576.324,0.000608179,0.0,1.0,3.98107e-06,1.0,2.0,0.0,0.0,1.15368
4,400000000.0,1.5,0.000568246,0.000568246,7.37032,581.006,0.000608179,0.0,1.0,6.30957e-06,1.0,2.0,0.0,0.0,1.1659
5,400000000.0,1.5,1.03315e-10,1.03315e-10,11.6071,571.645,0.000608179,0.0,1.0,1e-05,1.0,2.0,0.0,0.0,1.17797
6,400000000.0,1.5,0.000474723,0.000474723,18.2561,609.509,0.000608137,0.0,1.0,1.58489e-05,1.0,2.0,0.0,0.0,1.19208
7,400000000.0,1.5,0.000751487,0.000751487,28.6522,688.096,0.000608134,0.0,1.0,2.51189e-05,1.0,2.0,0.0,0.0,1.20827
8,400000000.0,1.5,0.000816582,0.000816582,44.909,772.596,0.000608132,0.0,1.0,3.98107e-05,1.0,2.0,0.0,0.0,1.22635
9,400000000.0,1.5,0.000832946,0.000832946,70.276,860.893,0.000608132,0.0,1.0,6.30957e-05,1.0,4.0,0.0,0.0,1.24686
10,400000000.0,1.5,0.000819465,0.000819465,109.857,946.245,0.000608134,0.0,1.0,0.0001,1.0,4.0,0.0,0.0,1.26992
11,400000000.0,1.5,0.00084371,0.00084371,171.319,1036.58,0.000608132,0.0,1.0,0.000158489,1.0,4.0,0.0,0.0,1.29716
12,400000000.0,1.5,0.000901451,0.000901451,266.579,1133.18,0.000608132,0.0,1.0,0.000251189,1.0,4.0,0.0,0.0,1.32931
13,400000000.0,1.5,0.00102353,0.00102353,413.374,1246.51,0.000608133,0.0,1.0,0.000398107,1.0,4.0,0.0,0.0,1.36855
14,400000000.0,1.5,0.00119921,0.00119921,638.15,1388.87,0.000608132,0.0,1.0,0.000630957,1.0,4.0,0.0,0.0,1.41679
15,400000000.0,1.5,0.00136882,0.00136882,980.171,1559.73,0.000608131,0.0,1.0,0.001,1.0,4.0,0.0,0.0,1.47491
16,400000000.0,1.5,0.001533,0.001533,1494.45,1759.25,0.000608131,0.0,1.0,0.00158489,1.0,4.0,0.0,0.0,1.54646
17,400000000.0,1.5,0.00161486,0.00161486,2264.35,1979.22,0.000608131,0.0,1.0,0.00251189,1.0,4.0,0.0,0.0,1.63169
18,400000000.0,1.5,0.00168178,0.00168178,3398.7,2207.78,0.000608131,0.0,1.0,0.00398107,1.0,4.0,0.0,0.0,1.73908
19,400000000.0,1.5,0.0017452,0.0017452,5044.94,2442.0,0.000608131,0.0,1.0,0.00630957,1.0,4.0,0.0,0.0,1.87708
20,400000000.0,1.5,0.00181653,0.00181653,7386.03,2680.59,0.000608132,0.0,1.0,0.01,1.0,4.0,0.0,0.0,2.05909
21,400000000.0,1.5,0.00189836,0.00189836,10628.6,2919.2,0.000608132,0.0,1.0,0.0158489,1.0,4.0,0.0,0.0,2.30529
22,400000000.0,1.5,0.00201483,0.00201483,14942.4,3158.56,0.000608134,0.0,1.0,0.0251189,1.0,4.0,0.0,0.0,2.65278
23,400000000.0,1.5,0.00220155,0.00220155,20443.7,3403.86,0.000608136,0.0,1.0,0.0398107,1.0,4.0,0.0,0.0,3.16631
24,400000000.0,1.5,0.00247018,0.00247018,27113.9,3651.18,0.000608141,0.0,1.0,0.0630957,1.0,4.0,0.0,0.0,3.97516
25,400000000.0,1.5,0.00284899,0.00284899,34720.9,3897.91,0.000608137,0.0,1.0,0.1,1.0,4.0,0.0,0.0,5.34949
26,400000000.0,3.0,0.00114482,0.00114482,1.1853,467.107,0.00121636,0.0,1.0,1e-06,1.0,2.0,0.0,0.0,1.34927
27,400000000.0,3.0,0.0011333,0.0011333,1.80759,530.363,0.00121636,0.0,1.0,1.58489e-06,1.0,2.0,0.0,0.0,1.35634
28,400000000.0,3.0,0.00114695,0.00114695,2.78827,568.21,0.00121636,0.0,1.0,2.51189e-06,1.0,2.0,0.0,0.0,1.36427
29,400000000.0,3.0,0.00115478,0.00115478,4.34022,575.363,0.00121636,0.0,1.0,3.98107e-06,1.0,2.0,0.0,0.0,1.37252
30,400000000.0,3.0,0.00114107,0.00114107,6.79764,579.533,0.00121636,0.0,1.0,6.30957e-06,1.0,2.0,0.0,0.0,1.38103
31,400000000.0,3.0,0.00108182,0.00108182,10.6878,587.153,0.00121626,0.0,1.0,1e-05,1.0,2.0,0.0,0.0,1.38983
32,400000000.0,3.0,0.00111931,0.00111931,16.8391,606.066,0.00121626,0.0,1.0,1.58489e-05,1.0,2.0,0.0,0.0,1.3991
33,400000000.0,3.0,0.0016947,0.0016947,26.4896,681.975,0.00121626,0.0,1.0,2.51189e-05,1.0,2.0,0.0,0.0,1.41015
34,400000000.0,3.0,0.00182731,0.00182731,41.644,769.399,0.00121626,0.0,1.0,3.98107e-05,1.0,2.0,0.0,0.0,1.42248
35,400000000.0,3.0,0.00189327,0.00189327,65.3994,863.333,0.00121626,0.0,1.0,6.30957e-05,1.0,4.0,0.0,0.0,1.43652
36,400000000.0,3.0,0.0019302,0.0019302,102.633,956.133,0.00121626,0.0,1.0,0.0001,1.0,4.0,0.0,0.0,1.45237
37,400000000.0,3.0,0.00202507,0.00202507,160.899,1050.72,0.00121626,0.0,1.0,0.000158489,1.0,4.0,0.0,0.0,1.47061
38,400000000.0,3.0,0.0022527,0.0022527,251.84,1156.05,0.00121626,0.0,1.0,0.000251189,1.0,4.0,0.0,0.0,1.49219
39,400000000.0,3.0,0.00268793,0.00268793,393.22,1285.3,0.00121626,0.0,1.0,0.000398107,1.0,4.0,0.0,0.0,1.51845
